,time_sum
1443,190.9975001
1444,191.0158334
1445,191.0463889
1446,191.0841667
1447,191.0975001
1448,191.1302778
1449,191.1477778
1450,191.1572223
1451,191.1741667
1452,191.1947223
1453,191.2094445
1454,191.2261112
1455,191.2433334
1456,191.2925001
1457,191.3283334
1458,191.3394445
1459,191.3594445
1460,191.3775001
1461,191.3983334
1462,191.4069445
1463,191.4155556
1464,191.4394445
1465,191.4647223
1466,191.4941667
1467,191.5236112
1468,191.5311112
1469,191.5441667
1470,191.5786112
1471,191.6119445
1472,191.6166667
1473,191.6250001
1474,191.6311112
1475,191.6372223
1476,191.6425001
1477,191.6611112
1478,191.6783334
1479,191.7572223
1480,191.8091667
1481,191.82
1482,191.8308334
1483,191.8461112
1484,191.8558334
1485,191.9091667
1486,191.9183334
1487,191.9375
1488,191.9566667
1489,191.9761112
1490,191.9963889
1491,192.0166667
1492,192.0405556
1493,192.0761112
1494,192.1222223
1495,192.1905556
1496,192.2436112
1497,192.3075001
1498,192.3425001
1499,192.3919445
1500,192.4152778
1501,192.4736112
1502,192.5308334
1503,192.5627778
1504,192.5794445
1505,192.6108334
1506,192.6622223
1507,192.7008334
1508,192.7180556
1509,192.7300001
1510,192.7800001
1511,192.8308334
1512,192.8705556
1513,192.8944445
1514,192.9525001
1515,192.9675001
1516,192.9861112
1517,193.0627778
1518,193.115
1519,193.2144445
1520,193.2802778
1521,193.3233334
1522,193.3463889
1523,193.3838889
1524,193.4255556
1525,193.4613889
1526,193.5408334
1527,193.6122223
1528,193.6536112
1529,193.7016667
1530,193.7627778
1531,193.8136112
1532,193.8366667
1533,193.8755556
1534,193.9038889
1535,193.9316667
1536,193.9600001
1537,193.9750001
1538,193.9963889
1539,194.0241667
1540,194.0666667
1541,194.1125001
1542,194.2322223
1543,194.3586112
1544,194.4830556
1545,194.5661112
1546,194.6294445
1547,194.7038889
1548,194.8072223
1549,194.9097223
1550,194.9483334
1551,194.9711112
1552,194.9908334
1553,195.0025
1554,195.0211112
1555,195.0408334
1556,195.0719445
1557,195.0963889
1558,195.1372223
1559,195.2094445
1560,195.2847223
1561,195.3747223
1562,195.4413889
1563,195.5519445
1564,195.6536112
1565,195.6772223
1566,195.6916667
1567,195.715
1568,195.7297223
1569,195.7519445
1570,195.7708334
1571,195.8302778
1572,195.8447223
1573,195.8677778
1574,196.0713889
1575,196.2508334
1576,196.4183334
1577,196.6830556
1578,196.6897223
1579,196.7236112
1580,196.7372223
1581,196.7508334
1582,196.8050001
1583,196.8258334
1584,197.0377778
1585,197.1091667
1586,197.2736112
1587,197.3622223
1588,197.5302778
1589,197.5894445
1590,197.5988889
1591,197.6616667
1592,197.7386112
1593,197.7883334
1594,197.8008334
1595,197.8100001
1596,197.9000001
1597,198.0355556
1598,198.1044445
1599,198.1322223
1600,198.1466667
1601,198.1650001
1602,198.1833334
1603,198.2050001
1604,198.2466667
1605,198.3086112
1606,198.3183334
1607,198.3608334
1608,198.3977778
1609,198.4491667
1610,198.5052778
1611,198.5172223
1612,198.5347223
1613,198.6302778
1614,198.6513889
1615,198.6933334
1616,198.7119445
1617,198.7522223
1618,198.7850001
1619,198.7933334
1620,198.9291667
1621,199.0011112
1622,199.0219445
1623,199.0366667
1624,199.0602778
1625,199.0936112
1626,199.1288889
1627,199.2055556
1628,199.2272223
1629,199.2388889
1630,199.2505556
1631,199.2675
1632,199.2933334
1633,199.3244445
1634,199.4022223
1635,199.4202778
1636,199.4558334
1637,199.5011112
1638,199.5211112
1639,199.5647223
1640,199.6136112
1641,199.635
1642,199.6516667
1643,199.6741667
1644,199.6991667
1645,199.7391667
1646,199.7677778
1647,199.79
1648,199.9108334
1649,199.9544445
1650,200.0011112
1651,200.0475
1652,200.0658334
1653,200.0841667
1654,200.0955556
1655,200.1088889
1656,200.1327778
1657,200.1536112
1658,200.1780556
1659,200.1988889
1660,200.2202778
1661,200.2280556
1662,200.2341667
1663,200.2402778
1664,200.2502778
1665,200.2616667
1666,200.2769445
1667,200.2936112
1668,200.3194445
