stop_id_modified_from,stop_id_modified_to,time,speed,number_of_trips
35440,35933,0.031111111,24.98020064,2
35933,34040,0.019722222,26.18724461,2
34040,31829,0.019444444,26.56134841,2
31829,31642,0.016388889,31.51346328,1
31642,35772,0.018055556,28.6045277,1
35772,33586,0.014722222,35.08102593,1
33586,35070,0.017222222,29.98861887,1
35070,35948,0.018888889,27.34256375,2
35948,33848,0.014722222,35.08102593,2
33848,33465,0.018055556,28.6045277,2
33465,35287,0.018055556,28.6045277,2
35287,34563,0.016944444,30.48023598,1
34563,38955,0.018333333,28.17112697,1
38956,38957,0.019166667,26.9462944,1
39664,39426,0.020833333,24.79059168,7
39425,1287,0.014444444,35.7556616,3
1287,39423,0.019722222,26.18724461,4
39423,39375,0.010555556,33.56404196,7
39375,39376,0.011111111,31.88584152,10
39376,1534,0.010277778,34.47117893,5
1534,39422,0.012777778,27.72681795,6
39422,39377,0.015,23.61914163,10
37319,1318,0.009444444,37.51275612,1
37376,39420,0.011388889,31.10813745,4
39425,39424,0.010555556,33.56404196,2
33988,39203,0.009444444,37.51275612,12
39597,39313,0.009444444,37.51275612,15
39313,31834,0.010833333,32.70342788,4
31834,1038,0.010277778,34.47117893,3
1038,1087,0.018055556,19.62205564,20
1087,39598,0.010277778,34.47117893,20
39598,39664,0.011388889,31.10813745,1
39425,31667,0.012222222,28.98712889,1
31667,38942,0.008055556,45.61986739,2
38942,35985,0.008611111,42.67665304,1
35985,1535,0.008055556,45.61986739,1
1535,38941,0.007777778,47.24914962,1
39422,35416,0.0075,48.99911953,1
35416,34121,0.007222222,50.88370262,1
34121,32139,0.008611111,42.67665304,1
32139,32956,0.006666667,55.12400671,1
32956,32883,0.008333333,44.09920934,1
39375,1536,0.008333333,44.09920934,1
37319,33825,0.008333333,44.09920934,1
33825,35470,0.008333333,44.09920934,1
33386,32422,0.008055556,45.61986739,1
32422,34344,0.007222222,50.88370262,1
34344,33677,0.008333333,44.09920934,1
33677,34760,0.023333333,45.68998044,1
38709,39617,0.026944444,39.56658109,12
39617,38706,0.024444444,43.61316332,17
38706,38700,0.025277778,42.17536559,23
38700,38712,0.0225,47.38220126,24
38712,38703,0.020555556,51.86430026,26
38703,38707,0.020555556,51.86430026,26
38707,38704,0.025833333,41.26836937,4
38704,38705,0.025833333,41.26836937,2
38705,39067,0.026111111,40.82934381,2
39067,38708,0.025,42.64398114,5
38708,517,0.026388889,40.39956091,2
517,516,0.025,42.64398114,7
516,518,0.028888889,36.90344507,8
518,520,0.016388889,37.54489282,8
520,519,0.017222222,35.72820516,9
519,460,0.015555556,39.5562255,9
460,38717,0.015833333,38.86225856,2
38717,38985,0.015,41.02127206,3
38985,38986,0.012777778,48.15540549,10
38986,38718,0.017777778,34.61169787,10
38718,38987,0.016944444,36.31391392,10
38987,38988,0.017777778,34.61169787,9
38988,535,0.018055556,34.0792098,3
535,38719,0.013055556,47.13082161,2
38719,39072,0.013055556,47.13082161,7
39072,38989,0.017222222,35.72820516,6
38989,38720,0.010277778,48.34835547,7
38720,26219,0.011111111,44.72223022,10
26219,38721,0.009166667,54.20876139,10
38721,38426,0.009444444,52.61439045,6
38426,38428,0.008333333,59.62964208,9
38428,38432,0.008611111,57.70610368,9
38432,38434,0.010555556,47.07602936,8
38434,38436,0.011944444,41.60207576,9
38436,38438,0.010555556,47.07602936,9
38438,38440,0.01,49.69136642,9
38440,38444,0.019722222,32.34925951,6
38444,38446,0.015833333,40.29469207,5
38446,38448,0.015277778,41.75995211,5
38448,38450,0.015833333,40.29469207,5
38450,38453,0.014722222,43.33580064,6
38453,38455,0.014722222,43.33580064,5
